pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
104.5,-104.2,180.0,bottom,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10uF,smt
170.5,-91.5,90.0,bottom,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7nF,smt
137.5,-93.5,90.0,bottom,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
137.5,-104.5,90.0,bottom,C12,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
124.5,-84.0,0.0,bottom,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
146.5,-84.0,0.0,bottom,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
163.5,-98.0,90.0,bottom,C15,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47pF,smt
171.5,-98.0,90.0,bottom,C16,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47pF,smt
153.5,-70.5625,90.0,bottom,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
158.0,-58.0,-90.0,bottom,C3,,,CP_Elec_10x10,470uF,smt
169.0,-70.5,90.0,bottom,C4,,,CP_Elec_6.3x5.8,10uF,smt
142.5,-58.0,-90.0,bottom,C5,,,CP_Elec_10x10,470uF,smt
138.5,-70.0,90.0,bottom,C6,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
138.5,-79.7,-90.0,bottom,C7,,,CP_Elec_6.3x5.8,10uF,smt
160.0,-83.0,-90.0,bottom,C8,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
111.0,-63.0,-90.0,bottom,D1,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
146.92,-78.0,0.0,bottom,D10,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
193.0,-105.0,180.0,bottom,D11,,,D_SMB_Handsoldering,P6KE24CA,smt
193.0,-110.0,180.0,bottom,D12,,,D_SMB_Handsoldering,P6KE24CA,smt
117.81,-109.5,180.0,bottom,D13,,,D_A-405_P7.62mm_Horizontal,BYW95A,tht
133.5,-59.0,90.0,bottom,D14,,,D_MiniMELF_Handsoldering,Uz=4.3V,smt
114.5,-90.5,0.0,bottom,D15,,,D_MiniMELF_Handsoldering,Uz=2.7V,smt
111.0,-72.0,-90.0,bottom,D2,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
150.5,-62.0,-90.0,bottom,D20,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,PowerLED,smt
184.5,-73.0,180.0,bottom,D21,,,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,WS2812B,smt
167.5,-98.0,90.0,bottom,D22,,,SOT-23-3,PESD1CAN,smt
105.5,-109.5,0.0,bottom,D3,,,D_SOD-323,1N5819,smt
130.3,-86.5,180.0,top,D4,,,D_SMB_Handsoldering,SMAJ5.0CA,smt
127.3,-95.0,90.0,top,D5,,,D_SMB_Handsoldering,SMAJ5.0CA,smt
132.0,-95.0,-90.0,top,D6,,,D_SMB_Handsoldering,SMAJ5.0CA,smt
188.0,-56.5,90.0,bottom,D7,,,D_SMB_Handsoldering,P6KE24CA,smt
173.69,-53.5,0.0,bottom,D8,,,D_A-405_P7.62mm_Horizontal,BYW95A,tht
166.0,-53.5,-90.0,bottom,D9,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
165.5,-82.0,-90.0,bottom,FL1,B82789S0223N002,,B82789S0223N002,B82789S0223N002,smt
184.0,-65.0,180.0,bottom,FL2,B82789S0223N002,,B82789S0223N002,B82789C0104N002,smt
197.52,-56.0,-90.0,bottom,J1,,,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,Power,tht
132.04,-104.0,90.0,bottom,J2,,,PinSocket_1x04_P2.54mm_Vertical,USB,tht
183.0,-108.885,90.0,bottom,J3,,,PinHeader_1x03_P2.54mm_Horizontal,Out,tht
118.04,-104.0,90.0,bottom,J4,,,PinSocket_1x04_P2.54mm_Vertical,UART,tht
168.5,-104.0,90.0,bottom,J5,,,PinSocket_1x02_P2.54mm_Vertical,CAN,tht
118.0,-63.0,180.0,bottom,Q1,,,SOT-223-3_TabPin2,IRFL9110,smt
118.0,-72.0,180.0,bottom,Q2,,,SOT-223-3_TabPin2,IRFL9110,smt
108.5,-54.5625,90.0,bottom,Q3,,,SOT-23,BC847C,smt
128.0,-59.0,0.0,bottom,Q4,,,SOT-23,BC847C,smt
167.0,-91.5,90.0,bottom,R1,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,60R,smt
127.45,-54.0,0.0,bottom,R10,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
103.5,-54.0,0.0,bottom,R11,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
111.0,-85.0,90.0,bottom,R12,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
127.5,-63.5,180.0,bottom,R13,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
131.0,-88.0,0.0,bottom,R14,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
104.5,-59.0,-90.0,bottom,R15,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
150.5,-55.5,-90.0,bottom,R16,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100,smt
137.5,-99.0,90.0,bottom,R17,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
124.5,-88.0,180.0,bottom,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
152.0,-84.0,0.0,bottom,R19,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
163.5,-91.5,90.0,bottom,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,60R,smt
100.0,-59.0,-90.0,bottom,R5,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180,smt
129.0,-69.5,0.0,bottom,R6,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,60R,smt
111.0,-79.0,90.0,bottom,R7,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100,smt
112.5,-54.95,-90.0,bottom,R8,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt
131.0,-84.0,0.0,bottom,R9,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt
128.5,-96.0,180.0,bottom,SW1,,,SW_SPST_Omron_B3FS-100xP,IO0,smt
115.0,-96.0,180.0,bottom,SW2,,,SW_SPST_Omron_B3FS-100xP,CHIP_PU,smt
150.1,-101.09,0.0,bottom,U1,,,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,smt
159.5,-70.5,-90.0,bottom,U2,,,SOT-223-3_TabPin2,LM1117MPX-5.0,smt
144.5,-70.0,-90.0,bottom,U3,,,SOT-223-3_TabPin2,LM1117MPX-3.3,smt
173.5,-81.5,180.0,bottom,U4,,,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T,smt
128.5,-75.5,90.0,bottom,U6,,,TO-92L_HandSolder,DS18B20,tht
